State	EventYear	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
IN	1998			0	1	0	1	0	4	2		1	0
IN	1999	0			1	0	0		3	2	5	2	0
IN	2000	0	1	0		0	0	0	1	2	0	0	0
IN	2001	1			0	0	1	1	0	1	2	0	1
IN	2002	0	0	0	0	2	0	0	0	0	1	4	1
IN	2003	0	0	0	0		0	0	0	1	0	0	
IN	2004	1	0		2		0	4	1	2		0	0
IN	2005	0	0	0	0		2	0	5	1	0		
IN	2006	0	1	0	0	0	1	0	0	0	2	0	
IN	2007	0		0	0	1		0	0			1	0
IN	2008	1			0	0	0	0	1	0	1	0	0
IN	2009	0	1	0	0	4	1	2	1	0		0	0
IN	2010		0	1	0	0	0	1	1	2	0	0	0
IN	2011	0	0	0									
KS	1982	1	0	0	0	1	1	3	1	1	2	0	1
KS	1983	0	0	1	2	4	0	0	2	1	1	0	1
KS	1984	0	1	0	0	0	3	6	4		0	0	0
KS	1985	2	0	0	1	6	0	3	2	0	0	0	0
KS	1986	2	1	1	0	0	0	2	0	0	0	0	0
KS	1987	0		0	3	3		1	0	0	1	0	2
KS	1988	0	0	0		2	1	0	0	1	1	0	5
KS	1989	0			1	0	25	0	0		0	0	
KS	1990	1		3	1	0	2	2	1		1	0	0
KS	1991	0	0	0	0	0	0	1	1	0		1	
KS	1992		0	0	0	0	1	1		1	0	0	0
KS	1993	1		0	0	2		0	1		0		0
KS	1994	0	0	0	0	3	1	4	1	1	0	0	0
KS	1995		0	3	1		0	2	1	2	3	2	1
KS	1996		0	0	0	0	1	2	2	0	0	0	0
KS	1997	0	0	0	1	0	5	0	0	0	0	1	1
KS	1998			0	0	6	1	1	2		0	0	
KS	1999	0	0	0	0	1	1	4	0	0	1		0
KS	2000	4	0	0	0	0	1	0	2	0	1		
